x_m,Q_t_0e+00_W_m3,Q_t_1e-04_W_m3,Q_t_2e-04_W_m3,Q_t_3e-04_W_m3
0.00018099999999999998,12276399069179.545,9852041024305.656,6157547987405.256,2997200374051.293
0.00018199999999999998,12299131428406.354,9919759175197.082,6230948972968.322,3048131086581.557
0.000183,12320673752441.816,9986944043467.727,6304594443233.983,3099617275360.633
0.000184,12341019644878.63,10053578535480.926,6378472472443.796,3151657939291.252
0.000185,12360163057640.412,10119645608348.586,6452570924318.703,3204251892688.42
0.000186,12378098293977.934,10185128277109.117,6526877454474.746,3257397762658.6147
0.000187,12394820011294.38,10250009621923.857,6601379512971.602,3311093986529.4893
0.000188,12410323223797.666,10314272795287.764,6676064346993.961,3365338809332.4946
0.00018899999999999999,12424603304977.928,10377901029250.104,6750919003665.656,3420130281340.799
0.00018999999999999998,12437655989908.53,10440877642640.898,6825930332996.364,3475466255664.926
0.00019099999999999998,12449477377368.918,10503186048298.775,6901084990960.581,3531344385908.494
0.000192,12460063931787.91,10564809760295.893,6976369442708.531,3587762123886.4683
0.000193,12469412485005.996,10625732401155.592,7051769965908.5,3644716717408.294
0.000194,12477520237855.467,10685937709058.37,7127272654220.06,3702205208128.335
0.000195,12484384761557.26,10745409545031.777,7202863420897.497,3760224429465.9443
0.000196,12490003998933.547,10804131900119.824,7278528002522.663,3818771004597.5635
0.000197,12494376265435.178,10862088902527.445,7354251962866.432,3877841344523.19
0.000198,12497500249983.334,10919264824735.627,7430020696877.729,3937431646209.541
0.00019899999999999999,12499375015624.738,10975644090582.701,7505819434799.15,3997537890812.2515
0.00019999999999999998,12500000000000.0,11031211282307.441,7581633246407.915,4058155841979.37
0.00020099999999999998,12499375015624.738,11085951147549.42,7657447045380.959,4119281044238.4634
0.000202,12497500249983.334,11139848606302.305,7733245593782.778,4180908821469.55
0.000203,12494376265435.178,11192888757815.588,7809013506674.524,4243034275466.1113
0.000204,12490003998933.547,11245056887440.395,7884735256842.851,4305652284586.3623
0.000205,12484384761557.262,11296338473414.951,7960395179646.787,4368757502496.9556
0.000206,12477520237855.467,11346719193585.37,8035977477980.897,4432344357011.237
0.000207,12469412485005.996,11396184932057.38,8111466227352.869,4496407049024.173
0.000208,12460063931787.912,11444721785774.719,8186845381073.537,4560939551545.99
0.00020899999999999998,12449477377368.918,11492316071019.871,8262098775557.329,4625935608836.558
0.00020999999999999998,12437655989908.53,11538954329832.945,8337210135730.927,4691388735642.493
0.00021099999999999998,12424603304977.93,11584623336344.44,8412163080547.92,4757292216538.913
0.000212,12410323223797.668,11629310103017.76,8486941128607.098,4823639105377.737
0.000213,12394820011294.38,11673001886797.365,8561527703871.911,4890422224844.37
0.000214,12378098293977.934,11715686195158.47,8635906141488.619,4957634166124.5625
0.000215,12360163057640.414,11757350792054.275,8710059693700.433,5025267288683.186
0.000216,12341019644878.63,11797983703756.79,8783971535854.968,5093313720156.596
0.000217,12320673752441.816,11837573224587.32,8857624772502.207,5161765356360.221
0.00021799999999999999,12299131428406.355,11876107922532.834,8931002443580.04,5230613861412.942
